"","childid","s2_id","w8cf8p_80","w2sch0","nsch","scorevar","score","wave","calYear","acaYear","w1c","w2","w3","w1"
"1893",10006927,1247,2187.235506,30.36913,18,"x6mscalk5",120.4926,"6",30,24,1,2187.235506,30.36913,2187.235506
"1894",10006937,2327,637.514498,63.196283,16,"x6mscalk5",89.3423,"6",30,24,1,637.514498,63.196283,637.514498
"1895",10006998,1521,746.140584,53.744947,15,"x6mscalk5",77.4343,"6",30,24,1,746.140584,53.744947,746.140584
"1896",10007014,1247,1631.975941,30.36913,18,"x6mscalk5",85.8101,"6",30,24,1,1631.975941,30.36913,1631.975941
"1897",10007110,1512,598.570077,75.291633,15,"x6mscalk5",110.7065,"6",30,24,1,598.570077,75.291633,598.570077
"1898",10007178,1088,1820.771215,37.162299,15,"x6mscalk5",84.0093,"6",30,24,1,1820.771215,37.162299,1820.771215
"1899",10007201,2006,1117.046257,32.830566,18,"x6mscalk5",89.7983,"6",30,24,1,1117.046257,32.830566,1117.046257
"1900",10007360,1033,2453.322033,40.136887,15,"x6mscalk5",110.4723,"6",30,24,1,2453.322033,40.136887,2453.322033
"1901",10007425,1543,1159.840355,57.501349,17,"x6mscalk5",106.6577,"6",30,24,1,1159.840355,57.501349,1159.840355
"1902",10007440,1521,1585.847287,53.744947,15,"x6mscalk5",63.6546,"6",30,24,1,1585.847287,53.744947,1585.847287
"1903",10007497,1247,2581.058198,30.36913,18,"x6mscalk5",83.0933,"6",30,24,1,2581.058198,30.36913,2581.058198
"1904",10007514,1088,1990.336056,37.162299,15,"x6mscalk5",87.0719,"6",30,24,1,1990.336056,37.162299,1990.336056
"1905",10007533,1247,1165.738826,30.36913,18,"x6mscalk5",74.1757,"6",30,24,1,1165.738826,30.36913,1165.738826
"1906",10007534,1377,2922.960321,181.283467,17,"x6mscalk5",80.7126,"6",30,24,1,2922.960321,181.283467,2922.960321
"1907",10007551,1512,340.083579,75.291633,15,"x6mscalk5",84.8591,"6",30,24,1,340.083579,75.291633,340.083579
"1908",10007585,1066,1391.40115,59.788467,18,"x6mscalk5",72.4694,"6",30,24,1,1391.40115,59.788467,1391.40115
"1909",10007656,1843,1376.957391,12.784643,16,"x6mscalk5",109.9309,"6",30,24,1,1376.957391,12.784643,1376.957391
"1910",10007676,1756,1197.579747,71.831099,15,"x6mscalk5",96.6005,"6",30,24,1,1197.579747,71.831099,1197.579747
"1911",10007700,1302,874.032009999999,37.544854,20,"x6mscalk5",84.2854,"6",30,24,1,874.032009999999,37.544854,874.032009999999
"1912",10007760,2006,1589.777218,32.830566,18,"x6mscalk5",89.9279,"6",30,24,1,1589.777218,32.830566,1589.777218
"1913",10007762,1756,729.404671,71.831099,15,"x6mscalk5",100.8612,"6",30,24,1,729.404671,71.831099,729.404671
"1914",10007788,2326,1188.156404,52.083427,15,"x6mscalk5",71.9169,"6",30,24,1,1188.156404,52.083427,1188.156404
"1915",10007836,1377,1854.752723,181.283467,17,"x6mscalk5",102.0467,"6",30,24,1,1854.752723,181.283467,1854.752723
"1916",10007842,1555,988.882712,49.461368,18,"x6mscalk5",102.2458,"6",30,24,1,988.882712,49.461368,988.882712
"1917",10007872,1756,1031.177934,71.831099,15,"x6mscalk5",92.2902,"6",30,24,1,1031.177934,71.831099,1031.177934
"1918",10007879,2327,667.222572,63.196283,16,"x6mscalk5",120.0885,"6",30,24,1,667.222572,63.196283,667.222572
"1919",10007910,1543,2049.975678,57.501349,17,"x6mscalk5",86.1372,"6",30,24,1,2049.975678,57.501349,2049.975678
"1920",10007916,1543,761.176419,57.501349,17,"x6mscalk5",91.5318,"6",30,24,1,761.176419,57.501349,761.176419
"1921",10007956,1543,1159.840355,57.501349,17,"x6mscalk5",115.9041,"6",30,24,1,1159.840355,57.501349,1159.840355
"1922",10007973,1247,1202.673332,30.36913,18,"x6mscalk5",108.9358,"6",30,24,1,1202.673332,30.36913,1202.673332
"1923",10007992,1746,380.730385,92.9635709999999,17,"x6mscalk5",99.1067,"6",30,24,1,380.730385,92.9635709999999,380.730385
