"","childid","s2_id","w8cf8p_80","w2sch0","nsch","scorevar","score","wave","calYear","acaYear","w1c","w2","w3","w1"
"2052",10014244,2326,1109.010783,52.083427,15,"x6mscalk5",99.0137,"6",30,24,1,1109.010783,52.083427,1109.010783
"2053",10014248,2326,1335.077217,52.083427,15,"x6mscalk5",75.3236,"6",30,24,1,1335.077217,52.083427,1335.077217
"2054",10014292,1377,3619.431537,181.283467,17,"x6mscalk5",74.2237,"6",30,24,1,3619.431537,181.283467,3619.431537
"2055",10014382,1555,988.882712,49.461368,18,"x6mscalk5",111.332,"6",30,24,1,988.882712,49.461368,988.882712
"2056",10014465,1247,1202.673332,30.36913,18,"x6mscalk5",113.4452,"6",30,24,1,1202.673332,30.36913,1202.673332
"2057",10014468,1937,748.188884,68.608006,16,"x6mscalk5",122.523,"6",30,24,1,748.188884,68.608006,748.188884
"2058",10014501,1756,1160.801667,71.831099,15,"x6mscalk5",126.547,"6",30,24,1,1160.801667,71.831099,1160.801667
"2059",10014526,1937,1089.873745,68.608006,16,"x6mscalk5",82.5173,"6",30,24,1,1089.873745,68.608006,1089.873745
"2060",10014560,1033,2756.686191,40.136887,15,"x6mscalk5",76.2026,"6",30,24,1,2756.686191,40.136887,2756.686191
"2061",10014758,1555,988.882712,49.461368,18,"x6mscalk5",99.7665,"6",30,24,1,988.882712,49.461368,988.882712
"2062",10014792,1017,3795.509877,36.765227,17,"x6mscalk5",102.258,"6",30,24,1,3795.509877,36.765227,3795.509877
"2063",10014854,1906,2922.960321,181.283467,18,"x6mscalk5",91.0831,"6",30,24,1,2922.960321,181.283467,2922.960321
